WDA,Occupation Title,Measure,Workforce Development Area,Title1,January 2020,January 2021,Volume Chg
Berks,Electrical Engineers,Growing Occupations,Berks,Electrical Engineers,15,10,-5
Berks,"First-Line Supervisors of Mechanics, Installers, and Repairers",Growing Occupations,Berks,"First-Line Supervisors of Mechanics, Installers, and Repairers",18,13,-5
Berks,Medical and Health Services Managers,Growing Occupations,Berks,Medical and Health Services Managers,74,69,-5
Berks,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",Growing Occupations,Berks,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",75,70,-5
Berks,Financial Analysts,Growing Occupations,Berks,Financial Analysts,16,12,-4
Berks,"Software Developers, Applications",Growing Occupations,Berks,"Software Developers, Applications",24,20,-4
Berks,Helpers--Production Workers,Growing Occupations,Berks,Helpers--Production Workers,16,13,-3
Berks,Physical Therapists,Growing Occupations,Berks,Physical Therapists,21,18,-3
Berks,Licensed Practical and Licensed Vocational Nurses,Growing Occupations,Berks,Licensed Practical and Licensed Vocational Nurses,70,67,-3
Berks,Human Resources Managers,Growing Occupations,Berks,Human Resources Managers,12,10,-2
Berks,"Sales Agents, Financial Services",Growing Occupations,Berks,"Sales Agents, Financial Services",12,10,-2
Berks,Computer Systems Analysts,Growing Occupations,Berks,Computer Systems Analysts,16,15,-1
Berks,"Education Administrators, Postsecondary",Growing Occupations,Berks,"Education Administrators, Postsecondary",12,12,0
Berks,"Educational, Guidance, School, and Vocational Counselors",Growing Occupations,Berks,"Educational, Guidance, School, and Vocational Counselors",12,12,0
Berks,First-Line Supervisors of Production and Operating Workers,Growing Occupations,Berks,First-Line Supervisors of Production and Operating Workers,21,21,0
Berks,"Sales Representatives, Services, All Other",Growing Occupations,Berks,"Sales Representatives, Services, All Other",9,10,1
Berks,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",Growing Occupations,Berks,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",15,16,1
Berks,Tellers,Growing Occupations,Berks,Tellers,16,18,2
Berks,Nurse Practitioners,Growing Occupations,Berks,Nurse Practitioners,17,19,2
Berks,Automotive Specialty Technicians,Growing Occupations,Berks,Automotive Specialty Technicians,18,20,2
Berks,Medical Assistants,Growing Occupations,Berks,Medical Assistants,44,46,2
Berks,Mental Health Counselors,Growing Occupations,Berks,Mental Health Counselors,7,10,3
Berks,"Financial Managers, Branch or Department",Growing Occupations,Berks,"Financial Managers, Branch or Department",14,17,3
Berks,Teacher Assistants,Growing Occupations,Berks,Teacher Assistants,14,17,3
Berks,Computer User Support Specialists,Growing Occupations,Berks,Computer User Support Specialists,20,23,3
Berks,Storage and Distribution Managers,Growing Occupations,Berks,Storage and Distribution Managers,7,11,4
Berks,Marketing Managers,Growing Occupations,Berks,Marketing Managers,17,21,4
Berks,Cashiers,Growing Occupations,Berks,Cashiers,27,31,4
Berks,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",Growing Occupations,Berks,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",29,33,4
Berks,Health Educators,Growing Occupations,Berks,Health Educators,5,10,5
Berks,"Inspectors, Testers, Sorters, Samplers, and Weighers",Growing Occupations,Berks,"Inspectors, Testers, Sorters, Samplers, and Weighers",7,12,5
Berks,"Order Fillers, Wholesale and Retail Sales",Growing Occupations,Berks,"Order Fillers, Wholesale and Retail Sales",10,15,5
Berks,"Bookkeeping, Accounting, and Auditing Clerks",Growing Occupations,Berks,"Bookkeeping, Accounting, and Auditing Clerks",16,21,5
Berks,"Cooks, Restaurant",Growing Occupations,Berks,"Cooks, Restaurant",26,31,5
Berks,"Managers, All Other",Growing Occupations,Berks,"Managers, All Other",58,63,5
Berks,Respiratory Therapists,Growing Occupations,Berks,Respiratory Therapists,4,10,6
Berks,"Cooks, Short Order",Growing Occupations,Berks,"Cooks, Short Order",5,11,6
Berks,Bus and Truck Mechanics and Diesel Engine Specialists,Growing Occupations,Berks,Bus and Truck Mechanics and Diesel Engine Specialists,7,13,6
Berks,Regulatory Affairs Specialists,Growing Occupations,Berks,Regulatory Affairs Specialists,3,10,7
Berks,Retail Loss Prevention Specialists,Growing Occupations,Berks,Retail Loss Prevention Specialists,4,11,7
Berks,Dishwashers,Growing Occupations,Berks,Dishwashers,4,11,7
Berks,Bakers,Growing Occupations,Berks,Bakers,4,11,7
Berks,"Postsecondary Teachers, All Other",Growing Occupations,Berks,"Postsecondary Teachers, All Other",5,12,7
Berks,"Social Workers, All Other",Growing Occupations,Berks,"Social Workers, All Other",6,13,7
Berks,Market Research Analysts and Marketing Specialists,Growing Occupations,Berks,Market Research Analysts and Marketing Specialists,7,14,7
Berks,Receptionists and Information Clerks,Growing Occupations,Berks,Receptionists and Information Clerks,7,14,7
Berks,Industrial Machinery Mechanics,Growing Occupations,Berks,Industrial Machinery Mechanics,8,15,7
Berks,Veterinarians,Growing Occupations,Berks,Veterinarians,9,16,7
Berks,Sales Managers,Growing Occupations,Berks,Sales Managers,14,21,7
Berks,Medical Records and Health Information Technicians,Growing Occupations,Berks,Medical Records and Health Information Technicians,15,22,7
Berks,Social and Human Service Assistants,Growing Occupations,Berks,Social and Human Service Assistants,5,13,8
Berks,Coaches and Scouts,Growing Occupations,Berks,Coaches and Scouts,5,13,8
Berks,"Medical Scientists, Except Epidemiologists",Growing Occupations,Berks,"Medical Scientists, Except Epidemiologists",6,14,8
Berks,First-Line Supervisors of Food Preparation and Serving Workers,Growing Occupations,Berks,First-Line Supervisors of Food Preparation and Serving Workers,14,22,8
Berks,General and Operations Managers,Growing Occupations,Berks,General and Operations Managers,30,38,8
Berks,Computer Systems Engineers/Architects,Growing Occupations,Berks,Computer Systems Engineers/Architects,4,13,9
Berks,Driver/Sales Workers,Growing Occupations,Berks,Driver/Sales Workers,16,25,9
Berks,Occupational Therapy Assistants,Growing Occupations,Berks,Occupational Therapy Assistants,1,11,10
Berks,First-Line Supervisors of Housekeeping and Janitorial Workers,Growing Occupations,Berks,First-Line Supervisors of Housekeeping and Janitorial Workers,1,11,10
Berks,Occupational Therapists,Growing Occupations,Berks,Occupational Therapists,4,14,10
Berks,Light Truck or Delivery Services Drivers,Growing Occupations,Berks,Light Truck or Delivery Services Drivers,7,17,10
Berks,Medical and Clinical Laboratory Technicians,Growing Occupations,Berks,Medical and Clinical Laboratory Technicians,15,25,10
Berks,Pharmacy Technicians,Growing Occupations,Berks,Pharmacy Technicians,23,33,10
Berks,"Preschool Teachers, Except Special Education",Growing Occupations,Berks,"Preschool Teachers, Except Special Education",7,18,11
Berks,"Packers and Packagers, Hand",Growing Occupations,Berks,"Packers and Packagers, Hand",7,18,11
Berks,Maids and Housekeeping Cleaners,Growing Occupations,Berks,Maids and Housekeeping Cleaners,14,25,11
Berks,Psychiatric Technicians,Growing Occupations,Berks,Psychiatric Technicians,2,14,12
Berks,Construction Laborers,Growing Occupations,Berks,Construction Laborers,5,17,12
Berks,"Office Clerks, General",Growing Occupations,Berks,"Office Clerks, General",9,21,12
Berks,Industrial Engineering Technicians,Growing Occupations,Berks,Industrial Engineering Technicians,11,23,12
Berks,Butchers and Meat Cutters,Growing Occupations,Berks,Butchers and Meat Cutters,3,16,13
Berks,Phlebotomists,Growing Occupations,Berks,Phlebotomists,5,18,13
Berks,Accountants,Growing Occupations,Berks,Accountants,14,27,13
Berks,"Hotel, Motel, and Resort Desk Clerks",Growing Occupations,Berks,"Hotel, Motel, and Resort Desk Clerks",1,15,14
Berks,Taxi Drivers and Chauffeurs,Growing Occupations,Berks,Taxi Drivers and Chauffeurs,1,15,14
Berks,Dietitians and Nutritionists,Growing Occupations,Berks,Dietitians and Nutritionists,3,17,14
Berks,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",Growing Occupations,Berks,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",38,52,14
Berks,"Billing, Cost, and Rate Clerks",Growing Occupations,Berks,"Billing, Cost, and Rate Clerks",1,16,15
Berks,Industrial Truck and Tractor Operators,Growing Occupations,Berks,Industrial Truck and Tractor Operators,7,22,15
Berks,"Shipping, Receiving, and Traffic Clerks",Growing Occupations,Berks,"Shipping, Receiving, and Traffic Clerks",18,33,15
Berks,Food Service Managers,Growing Occupations,Berks,Food Service Managers,16,32,16
Berks,Pharmacists,Growing Occupations,Berks,Pharmacists,11,28,17
Berks,Patient Representatives,Growing Occupations,Berks,Patient Representatives,26,43,17
Berks,Physician Assistants,Growing Occupations,Berks,Physician Assistants,11,29,18
Berks,Waiters and Waitresses,Growing Occupations,Berks,Waiters and Waitresses,7,28,21
Berks,Merchandise Displayers and Window Trimmers,Growing Occupations,Berks,Merchandise Displayers and Window Trimmers,22,44,22
Berks,Medical Secretaries,Growing Occupations,Berks,Medical Secretaries,7,30,23
Berks,"Stock Clerks, Sales Floor",Growing Occupations,Berks,"Stock Clerks, Sales Floor",22,45,23
Berks,Home Health Aides,Growing Occupations,Berks,Home Health Aides,28,53,25
Berks,"Maintenance and Repair Workers, General",Growing Occupations,Berks,"Maintenance and Repair Workers, General",35,61,26
Berks,"Production Workers, All Other",Growing Occupations,Berks,"Production Workers, All Other",22,54,32
Berks,Retail Salespersons,Growing Occupations,Berks,Retail Salespersons,140,172,32
Berks,"Stock Clerks- Stockroom, Warehouse, or Storage Yard",Growing Occupations,Berks,"Stock Clerks- Stockroom, Warehouse, or Storage Yard",14,48,34
Berks,Personal Care Aides,Growing Occupations,Berks,Personal Care Aides,19,53,34
Berks,"Combined Food Preparation and Serving Workers, Including Fast Food",Growing Occupations,Berks,"Combined Food Preparation and Serving Workers, Including Fast Food",61,95,34
Berks,First-Line Supervisors of Retail Sales Workers,Growing Occupations,Berks,First-Line Supervisors of Retail Sales Workers,85,121,36
Berks,Customer Service Representatives,Growing Occupations,Berks,Customer Service Representatives,48,86,38
Berks,Security Guards,Growing Occupations,Berks,Security Guards,34,75,41
Berks,Heavy and Tractor-Trailer Truck Drivers,Growing Occupations,Berks,Heavy and Tractor-Trailer Truck Drivers,62,149,87
Berks,"Laborers and Freight, Stock, and Material Movers, Hand",Growing Occupations,Berks,"Laborers and Freight, Stock, and Material Movers, Hand",54,173,119
Bucks,First-Line Supervisors of Food Preparation and Serving Workers,Growing Occupations,Bucks,First-Line Supervisors of Food Preparation and Serving Workers,47,46,-1
Bucks,Cost Estimators,Growing Occupations,Bucks,Cost Estimators,12,12,0
Bucks,"Education Administrators, Postsecondary",Growing Occupations,Bucks,"Education Administrators, Postsecondary",13,13,0
Bucks,Parts Salespersons,Growing Occupations,Bucks,Parts Salespersons,14,14,0
Bucks,Phlebotomists,Growing Occupations,Bucks,Phlebotomists,16,16,0
Bucks,Recreation Workers,Growing Occupations,Bucks,Recreation Workers,22,22,0
Bucks,Patient Representatives,Growing Occupations,Bucks,Patient Representatives,40,40,0
Bucks,Storage and Distribution Managers,Growing Occupations,Bucks,Storage and Distribution Managers,9,10,1
Bucks,"Order Fillers, Wholesale and Retail Sales",Growing Occupations,Bucks,"Order Fillers, Wholesale and Retail Sales",9,10,1
Bucks,"Installation, Maintenance, and Repair Workers, All Other",Growing Occupations,Bucks,"Installation, Maintenance, and Repair Workers, All Other",9,10,1
Bucks,Surgical Technologists,Growing Occupations,Bucks,Surgical Technologists,10,11,1
Bucks,Mental Health Counselors,Growing Occupations,Bucks,Mental Health Counselors,13,14,1
Bucks,Automotive Body and Related Repairers,Growing Occupations,Bucks,Automotive Body and Related Repairers,20,21,1
Bucks,Bus and Truck Mechanics and Diesel Engine Specialists,Growing Occupations,Bucks,Bus and Truck Mechanics and Diesel Engine Specialists,24,25,1
Bucks,Merchandise Displayers and Window Trimmers,Growing Occupations,Bucks,Merchandise Displayers and Window Trimmers,63,64,1
Bucks,"Preschool Teachers, Except Special Education",Growing Occupations,Bucks,"Preschool Teachers, Except Special Education",85,86,1
Bucks,Counter and Rental Clerks,Growing Occupations,Bucks,Counter and Rental Clerks,8,10,2
Bucks,Manufacturing Production Technicians,Growing Occupations,Bucks,Manufacturing Production Technicians,9,11,2
Bucks,Medical and Clinical Laboratory Technologists,Growing Occupations,Bucks,Medical and Clinical Laboratory Technologists,7,10,3
Bucks,Electricians,Growing Occupations,Bucks,Electricians,7,10,3
Bucks,"Compensation, Benefits, and Job Analysis Specialists",Growing Occupations,Bucks,"Compensation, Benefits, and Job Analysis Specialists",8,11,3
Bucks,Nonfarm Animal Caretakers,Growing Occupations,Bucks,Nonfarm Animal Caretakers,8,11,3
Bucks,Retail Loss Prevention Specialists,Growing Occupations,Bucks,Retail Loss Prevention Specialists,15,18,3
Bucks,Paralegals and Legal Assistants,Growing Occupations,Bucks,Paralegals and Legal Assistants,7,11,4
Bucks,First-Line Supervisors of Construction Trades and Extraction Workers,Growing Occupations,Bucks,First-Line Supervisors of Construction Trades and Extraction Workers,7,11,4
Bucks,Machinists,Growing Occupations,Bucks,Machinists,10,14,4
Bucks,Administrative Services Managers,Growing Occupations,Bucks,Administrative Services Managers,12,16,4
Bucks,"Shipping, Receiving, and Traffic Clerks",Growing Occupations,Bucks,"Shipping, Receiving, and Traffic Clerks",20,24,4
Bucks,Accountants,Growing Occupations,Bucks,Accountants,25,29,4
Bucks,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",Growing Occupations,Bucks,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",35,39,4
Bucks,"Health Technologists and Technicians, All Other",Growing Occupations,Bucks,"Health Technologists and Technicians, All Other",46,50,4
Bucks,Waiters and Waitresses,Growing Occupations,Bucks,Waiters and Waitresses,55,59,4
Bucks,Logistics Managers,Growing Occupations,Bucks,Logistics Managers,5,10,5
Bucks,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",Growing Occupations,Bucks,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",5,10,5
Bucks,Electrical Engineers,Growing Occupations,Bucks,Electrical Engineers,6,11,5
Bucks,Construction Laborers,Growing Occupations,Bucks,Construction Laborers,23,28,5
Bucks,General and Operations Managers,Growing Occupations,Bucks,General and Operations Managers,61,66,5
Bucks,"Painters, Construction and Maintenance",Growing Occupations,Bucks,"Painters, Construction and Maintenance",8,14,6
Bucks,Helpers--Production Workers,Growing Occupations,Bucks,Helpers--Production Workers,8,14,6
Bucks,Food Preparation Workers,Growing Occupations,Bucks,Food Preparation Workers,4,11,7
Bucks,"Middle School Teachers, Except Special and Career/Technical Education",Growing Occupations,Bucks,"Middle School Teachers, Except Special and Career/Technical Education",5,12,7
Bucks,Roofers,Growing Occupations,Bucks,Roofers,6,13,7
Bucks,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",Growing Occupations,Bucks,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",10,17,7
Bucks,Team Assemblers,Growing Occupations,Bucks,Team Assemblers,14,21,7
Bucks,Dishwashers,Growing Occupations,Bucks,Dishwashers,31,38,7
Bucks,Receptionists and Information Clerks,Growing Occupations,Bucks,Receptionists and Information Clerks,40,47,7
Bucks,Medical Assistants,Growing Occupations,Bucks,Medical Assistants,67,74,7
Bucks,"Bus Drivers, School or Special Client",Growing Occupations,Bucks,"Bus Drivers, School or Special Client",2,10,8
Bucks,Social and Human Service Assistants,Growing Occupations,Bucks,Social and Human Service Assistants,16,24,8
Bucks,Respiratory Therapists,Growing Occupations,Bucks,Respiratory Therapists,17,25,8
Bucks,Self-Enrichment Education Teachers,Growing Occupations,Bucks,Self-Enrichment Education Teachers,2,11,9
Bucks,Regulatory Affairs Specialists,Growing Occupations,Bucks,Regulatory Affairs Specialists,4,13,9
Bucks,Occupational Health and Safety Specialists,Growing Occupations,Bucks,Occupational Health and Safety Specialists,4,13,9
Bucks,Power Plant Operators,Growing Occupations,Bucks,Power Plant Operators,6,15,9
Bucks,Operations Research Analysts,Growing Occupations,Bucks,Operations Research Analysts,12,21,9
Bucks,"Production, Planning, and Expediting Clerks",Growing Occupations,Bucks,"Production, Planning, and Expediting Clerks",17,26,9
Bucks,Heating and Air Conditioning Mechanics and Installers,Growing Occupations,Bucks,Heating and Air Conditioning Mechanics and Installers,19,28,9
Bucks,Tellers,Growing Occupations,Bucks,Tellers,27,36,9
Bucks,Nursing Assistants,Growing Occupations,Bucks,Nursing Assistants,160,169,9
Bucks,"Dispatchers, Except Police, Fire, and Ambulance",Growing Occupations,Bucks,"Dispatchers, Except Police, Fire, and Ambulance",2,12,10
Bucks,Dental Assistants,Growing Occupations,Bucks,Dental Assistants,10,20,10
Bucks,"Property, Real Estate, and Community Association Managers",Growing Occupations,Bucks,"Property, Real Estate, and Community Association Managers",11,21,10
Bucks,"Financial Managers, Branch or Department",Growing Occupations,Bucks,"Financial Managers, Branch or Department",19,29,10
Bucks,Butchers and Meat Cutters,Growing Occupations,Bucks,Butchers and Meat Cutters,4,15,11
Bucks,Dietitians and Nutritionists,Growing Occupations,Bucks,Dietitians and Nutritionists,15,26,11
Bucks,"First-Line Supervisors of Mechanics, Installers, and Repairers",Growing Occupations,Bucks,"First-Line Supervisors of Mechanics, Installers, and Repairers",29,40,11
Bucks,"Stock Clerks- Stockroom, Warehouse, or Storage Yard",Growing Occupations,Bucks,"Stock Clerks- Stockroom, Warehouse, or Storage Yard",31,42,11
Bucks,Veterinary Technologists and Technicians,Growing Occupations,Bucks,Veterinary Technologists and Technicians,8,21,13
Bucks,Physician Assistants,Growing Occupations,Bucks,Physician Assistants,9,22,13
Bucks,Medical and Clinical Laboratory Technicians,Growing Occupations,Bucks,Medical and Clinical Laboratory Technicians,22,35,13
Bucks,Medical Secretaries,Growing Occupations,Bucks,Medical Secretaries,88,101,13
Bucks,"Telecommunications Equipment Installers and Repairers, Except Line Installers",Growing Occupations,Bucks,"Telecommunications Equipment Installers and Repairers, Except Line Installers",3,17,14
Bucks,Rough Carpenters,Growing Occupations,Bucks,Rough Carpenters,4,19,15
Bucks,Landscaping and Groundskeeping Workers,Growing Occupations,Bucks,Landscaping and Groundskeeping Workers,19,34,15
Bucks,"Combined Food Preparation and Serving Workers, Including Fast Food",Growing Occupations,Bucks,"Combined Food Preparation and Serving Workers, Including Fast Food",139,154,15
Bucks,Cleaners of Vehicles and Equipment,Growing Occupations,Bucks,Cleaners of Vehicles and Equipment,5,21,16
Bucks,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",Growing Occupations,Bucks,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",3,20,17
Bucks,Veterinarians,Growing Occupations,Bucks,Veterinarians,7,25,18
Bucks,Light Truck or Delivery Services Drivers,Growing Occupations,Bucks,Light Truck or Delivery Services Drivers,39,57,18
Bucks,Speech-Language Pathologists,Growing Occupations,Bucks,Speech-Language Pathologists,19,38,19
Bucks,"Production Workers, All Other",Growing Occupations,Bucks,"Production Workers, All Other",48,67,19
Bucks,"Packers and Packagers, Hand",Growing Occupations,Bucks,"Packers and Packagers, Hand",8,28,20
Bucks,Industrial Truck and Tractor Operators,Growing Occupations,Bucks,Industrial Truck and Tractor Operators,10,32,22
Bucks,"Cooks, Restaurant",Growing Occupations,Bucks,"Cooks, Restaurant",60,82,22
Bucks,Automotive Specialty Technicians,Growing Occupations,Bucks,Automotive Specialty Technicians,60,82,22
Bucks,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",Growing Occupations,Bucks,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",70,92,22
Bucks,Real Estate Sales Agents,Growing Occupations,Bucks,Real Estate Sales Agents,13,36,23
Bucks,Driver/Sales Workers,Growing Occupations,Bucks,Driver/Sales Workers,69,93,24
Bucks,Industrial Engineering Technicians,Growing Occupations,Bucks,Industrial Engineering Technicians,13,38,25
Bucks,"Stock Clerks, Sales Floor",Growing Occupations,Bucks,"Stock Clerks, Sales Floor",73,98,25
Bucks,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",Growing Occupations,Bucks,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",203,231,28
Bucks,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",Growing Occupations,Bucks,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",77,112,35
Bucks,Maids and Housekeeping Cleaners,Growing Occupations,Bucks,Maids and Housekeeping Cleaners,62,100,38
Bucks,Security Guards,Growing Occupations,Bucks,Security Guards,62,101,39
Bucks,Personal Care Aides,Growing Occupations,Bucks,Personal Care Aides,66,119,53
Bucks,Licensed Practical and Licensed Vocational Nurses,Growing Occupations,Bucks,Licensed Practical and Licensed Vocational Nurses,78,133,55
Bucks,"Maintenance and Repair Workers, General",Growing Occupations,Bucks,"Maintenance and Repair Workers, General",105,162,57
Bucks,Home Health Aides,Growing Occupations,Bucks,Home Health Aides,78,153,75
Bucks,Heavy and Tractor-Trailer Truck Drivers,Growing Occupations,Bucks,Heavy and Tractor-Trailer Truck Drivers,117,201,84
Bucks,"Laborers and Freight, Stock, and Material Movers, Hand",Growing Occupations,Bucks,"Laborers and Freight, Stock, and Material Movers, Hand",145,230,85
Central,Customer Service Representatives,Growing Occupations,Central,Customer Service Representatives,77,72,-5
Central,Electrical Engineers,Growing Occupations,Central,Electrical Engineers,15,11,-4
Central,Information Technology Project Managers,Growing Occupations,Central,Information Technology Project Managers,16,12,-4
Central,Public Relations Specialists,Growing Occupations,Central,Public Relations Specialists,17,13,-4
Central,Dietitians and Nutritionists,Growing Occupations,Central,Dietitians and Nutritionists,17,13,-4
Central,Physical Therapists,Growing Occupations,Central,Physical Therapists,18,14,-4
Central,Public Relations and Fundraising Managers,Growing Occupations,Central,Public Relations and Fundraising Managers,22,18,-4
Central,"Laborers and Freight, Stock, and Material Movers, Hand",Growing Occupations,Central,"Laborers and Freight, Stock, and Material Movers, Hand",78,74,-4
Central,Medical and Health Services Managers,Growing Occupations,Central,Medical and Health Services Managers,83,79,-4
Central,Information Security Analysts,Growing Occupations,Central,Information Security Analysts,13,10,-3
Central,Family and General Practitioners,Growing Occupations,Central,Family and General Practitioners,13,10,-3
Central,"Sales Agents, Financial Services",Growing Occupations,Central,"Sales Agents, Financial Services",17,14,-3
Central,Computer Systems Engineers/Architects,Growing Occupations,Central,Computer Systems Engineers/Architects,18,15,-3
Central,Pharmacy Technicians,Growing Occupations,Central,Pharmacy Technicians,44,41,-3
Central,Industrial Machinery Mechanics,Growing Occupations,Central,Industrial Machinery Mechanics,18,16,-2
Central,"Education Administrators, Postsecondary",Growing Occupations,Central,"Education Administrators, Postsecondary",44,42,-2
Central,"Production Workers, All Other",Growing Occupations,Central,"Production Workers, All Other",48,46,-2
Central,"Managers, All Other",Growing Occupations,Central,"Managers, All Other",84,82,-2
Central,"Welders, Cutters, and Welder Fitters",Growing Occupations,Central,"Welders, Cutters, and Welder Fitters",12,11,-1
Central,Social and Human Service Assistants,Growing Occupations,Central,Social and Human Service Assistants,13,12,-1
Central,Manufacturing Production Technicians,Growing Occupations,Central,Manufacturing Production Technicians,17,16,-1
Central,Medical and Clinical Laboratory Technicians,Growing Occupations,Central,Medical and Clinical Laboratory Technicians,21,20,-1
Central,Construction Laborers,Growing Occupations,Central,Construction Laborers,23,22,-1
Central,"Bookkeeping, Accounting, and Auditing Clerks",Growing Occupations,Central,"Bookkeeping, Accounting, and Auditing Clerks",26,25,-1
Central,Tellers,Growing Occupations,Central,Tellers,41,40,-1
Central,Heating and Air Conditioning Mechanics and Installers,Growing Occupations,Central,Heating and Air Conditioning Mechanics and Installers,13,13,0
Central,Administrative Services Managers,Growing Occupations,Central,Administrative Services Managers,14,14,0
Central,Helpers--Production Workers,Growing Occupations,Central,Helpers--Production Workers,14,14,0
Central,"Packers and Packagers, Hand",Growing Occupations,Central,"Packers and Packagers, Hand",14,14,0
Central,"Cooks, Restaurant",Growing Occupations,Central,"Cooks, Restaurant",36,36,0
Central,Sales Managers,Growing Occupations,Central,Sales Managers,11,12,1
Central,Radiologic Technologists,Growing Occupations,Central,Radiologic Technologists,11,12,1
Central,Respiratory Therapists,Growing Occupations,Central,Respiratory Therapists,17,18,1
Central,"Combined Food Preparation and Serving Workers, Including Fast Food",Growing Occupations,Central,"Combined Food Preparation and Serving Workers, Including Fast Food",75,76,1
Central,Retail Salespersons,Growing Occupations,Central,Retail Salespersons,192,193,1
Central,Training and Development Specialists,Growing Occupations,Central,Training and Development Specialists,8,10,2
Central,Marriage and Family Therapists,Growing Occupations,Central,Marriage and Family Therapists,8,10,2
Central,Anesthesiologists,Growing Occupations,Central,Anesthesiologists,8,10,2
Central,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",Growing Occupations,Central,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",8,10,2
Central,Construction Managers,Growing Occupations,Central,Construction Managers,9,11,2
Central,Financial Analysts,Growing Occupations,Central,Financial Analysts,10,12,2
Central,"Medical Scientists, Except Epidemiologists",Growing Occupations,Central,"Medical Scientists, Except Epidemiologists",10,12,2
Central,"Sales Representatives, Services, All Other",Growing Occupations,Central,"Sales Representatives, Services, All Other",11,13,2
Central,Cardiovascular Technologists and Technicians,Growing Occupations,Central,Cardiovascular Technologists and Technicians,12,14,2
Central,Clinical Research Coordinators,Growing Occupations,Central,Clinical Research Coordinators,11,14,3
Central,Electricians,Growing Occupations,Central,Electricians,11,14,3
Central,Architectural and Engineering Managers,Growing Occupations,Central,Architectural and Engineering Managers,12,15,3
Central,"Production, Planning, and Expediting Clerks",Growing Occupations,Central,"Production, Planning, and Expediting Clerks",12,15,3
Central,Speech-Language Pathologists,Growing Occupations,Central,Speech-Language Pathologists,14,17,3
Central,"Stock Clerks, Sales Floor",Growing Occupations,Central,"Stock Clerks, Sales Floor",45,48,3
Central,Occupational Health and Safety Specialists,Growing Occupations,Central,Occupational Health and Safety Specialists,6,10,4
Central,Clinical Psychologists,Growing Occupations,Central,Clinical Psychologists,9,13,4
Central,Industrial Truck and Tractor Operators,Growing Occupations,Central,Industrial Truck and Tractor Operators,9,13,4
Central,Surgical Technologists,Growing Occupations,Central,Surgical Technologists,10,14,4
Central,Social and Community Service Managers,Growing Occupations,Central,Social and Community Service Managers,5,10,5
Central,First-Line Supervisors of Housekeeping and Janitorial Workers,Growing Occupations,Central,First-Line Supervisors of Housekeeping and Janitorial Workers,5,10,5
Central,Automotive Specialty Technicians,Growing Occupations,Central,Automotive Specialty Technicians,32,37,5
Central,Nurse Practitioners,Growing Occupations,Central,Nurse Practitioners,36,41,5
Central,"Teachers and Instructors, All Other",Growing Occupations,Central,"Teachers and Instructors, All Other",8,14,6
Central,First-Line Supervisors of Office and Administrative Support Workers,Growing Occupations,Central,First-Line Supervisors of Office and Administrative Support Workers,17,23,6
Central,Medical Secretaries,Growing Occupations,Central,Medical Secretaries,31,37,6
Central,"Vocational Education Teachers, Postsecondary",Growing Occupations,Central,"Vocational Education Teachers, Postsecondary",3,10,7
Central,Couriers and Messengers,Growing Occupations,Central,Couriers and Messengers,3,10,7
Central,"Physicians and Surgeons, All Other",Growing Occupations,Central,"Physicians and Surgeons, All Other",33,40,7
Central,Network and Computer Systems Administrators,Growing Occupations,Central,Network and Computer Systems Administrators,5,13,8
Central,Taxi Drivers and Chauffeurs,Growing Occupations,Central,Taxi Drivers and Chauffeurs,6,14,8
Central,Human Resources Specialists,Growing Occupations,Central,Human Resources Specialists,26,34,8
Central,"Office Clerks, General",Growing Occupations,Central,"Office Clerks, General",32,40,8
Central,"Maintenance and Repair Workers, General",Growing Occupations,Central,"Maintenance and Repair Workers, General",49,57,8
Central,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",Growing Occupations,Central,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",1,10,9
Central,Transportation Managers,Growing Occupations,Central,Transportation Managers,2,11,9
Central,Healthcare Social Workers,Growing Occupations,Central,Healthcare Social Workers,14,24,10
