WDA,Industry Title,Measure,Workforce Development Area,Title1,January 2020,January 2021,Volume Chg
Luzerne-Schuylkill,"Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing",Growing Industries,Luzerne-Schuylkill,"Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing",11,10,-1
Luzerne-Schuylkill,Warehouse Clubs and Supercenters,Growing Industries,Luzerne-Schuylkill,Warehouse Clubs and Supercenters,9,12,3
Montgomery,Administrative Management and General Management Consulting Services,Growing Industries,Montgomery,Administrative Management and General Management Consulting Services,38,46,8
Montgomery,Aircraft Engine and Engine Parts Manufacturing,Growing Industries,Montgomery,Aircraft Engine and Engine Parts Manufacturing,14,13,-1
Montgomery,Aircraft Manufacturing,Growing Industries,Montgomery,Aircraft Manufacturing,143,95,-48
Montgomery,All Other General Merchandise Stores,Growing Industries,Montgomery,All Other General Merchandise Stores,56,46,-10
Montgomery,All Other Home Furnishings Stores,Growing Industries,Montgomery,All Other Home Furnishings Stores,18,19,1
Montgomery,All Other Miscellaneous General Purpose Machinery Manufacturing,Growing Industries,Montgomery,All Other Miscellaneous General Purpose Machinery Manufacturing,4,12,8
Montgomery,Assisted Living Facilities for the Elderly,Growing Industries,Montgomery,Assisted Living Facilities for the Elderly,66,76,10
Montgomery,Automobile Manufacturing,Growing Industries,Montgomery,Automobile Manufacturing,22,16,-6
Montgomery,Automotive Parts and Accessories Stores,Growing Industries,Montgomery,Automotive Parts and Accessories Stores,87,55,-32
Montgomery,Baked Goods Stores,Growing Industries,Montgomery,Baked Goods Stores,50,62,12
Montgomery,Beauty Salons,Growing Industries,Montgomery,Beauty Salons,25,11,-14
Montgomery,Cable and Other Subscription Programming,Growing Industries,Montgomery,Cable and Other Subscription Programming,35,20,-15
Montgomery,Child Day Care Services,Growing Industries,Montgomery,Child Day Care Services,68,30,-38
Montgomery,Civic and Social Organizations,Growing Industries,Montgomery,Civic and Social Organizations,6,46,40
Montgomery,"Colleges, Universities, and Professional Schools",Growing Industries,Montgomery,"Colleges, Universities, and Professional Schools",231,458,227
Montgomery,Concrete Block and Brick Manufacturing,Growing Industries,Montgomery,Concrete Block and Brick Manufacturing,13,14,1
Montgomery,"Cosmetics, Beauty Supplies, and Perfume Stores",Growing Industries,Montgomery,"Cosmetics, Beauty Supplies, and Perfume Stores",47,29,-18
Montgomery,Couriers and Express Delivery Services,Growing Industries,Montgomery,Couriers and Express Delivery Services,33,35,2
Montgomery,Cut and Sew Apparel Contractors,Growing Industries,Montgomery,Cut and Sew Apparel Contractors,11,12,1
Montgomery,"Data Processing, Hosting, and Related Services",Growing Industries,Montgomery,"Data Processing, Hosting, and Related Services",35,66,31
Montgomery,Department Stores (except Discount Department Stores),Growing Industries,Montgomery,Department Stores (except Discount Department Stores),77,97,20
Montgomery,Direct Life Insurance Carriers,Growing Industries,Montgomery,Direct Life Insurance Carriers,123,128,5
Montgomery,Discount Department Stores,Growing Industries,Montgomery,Discount Department Stores,32,48,16
Montgomery,Drugs and Druggists' Sundries Merchant Wholesalers,Growing Industries,Montgomery,Drugs and Druggists' Sundries Merchant Wholesalers,45,102,57
Montgomery,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers",Growing Industries,Montgomery,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers",7,15,8
Montgomery,Electronic Shopping,Growing Industries,Montgomery,Electronic Shopping,20,62,42
Montgomery,Electronics Stores,Growing Industries,Montgomery,Electronics Stores,40,47,7
Montgomery,Employment Placement Agencies,Growing Industries,Montgomery,Employment Placement Agencies,20,14,-6
Montgomery,Engineering Services,Growing Industries,Montgomery,Engineering Services,79,51,-28
Montgomery,Family Clothing Stores,Growing Industries,Montgomery,Family Clothing Stores,113,73,-40
Montgomery,"Financial Transactions Processing, Reserve, and Clearinghouse Activities",Growing Industries,Montgomery,"Financial Transactions Processing, Reserve, and Clearinghouse Activities",30,20,-10
Montgomery,Fitness and Recreational Sports Centers,Growing Industries,Montgomery,Fitness and Recreational Sports Centers,17,15,-2
Montgomery,Food Service Contractors,Growing Industries,Montgomery,Food Service Contractors,69,59,-10
Montgomery,Fuel Dealers,Growing Industries,Montgomery,Fuel Dealers,33,22,-11
Montgomery,Full-Service Restaurants,Growing Industries,Montgomery,Full-Service Restaurants,178,153,-25
Montgomery,Furniture Stores,Growing Industries,Montgomery,Furniture Stores,62,89,27
Montgomery,Gasoline Stations with Convenience Stores,Growing Industries,Montgomery,Gasoline Stations with Convenience Stores,7,36,29
Montgomery,General Automotive Repair,Growing Industries,Montgomery,General Automotive Repair,57,32,-25
Montgomery,"General Freight Trucking, Long-Distance, Truckload",Growing Industries,Montgomery,"General Freight Trucking, Long-Distance, Truckload",46,28,-18
Montgomery,General Line Grocery Merchant Wholesalers,Growing Industries,Montgomery,General Line Grocery Merchant Wholesalers,10,14,4
Montgomery,Hazardous Waste Treatment and Disposal,Growing Industries,Montgomery,Hazardous Waste Treatment and Disposal,30,15,-15
Montgomery,"Hobby, Toy, and Game Stores",Growing Industries,Montgomery,"Hobby, Toy, and Game Stores",38,20,-18
Montgomery,Home Centers,Growing Industries,Montgomery,Home Centers,212,211,-1
Montgomery,Home Health Care Services,Growing Industries,Montgomery,Home Health Care Services,95,130,35
Montgomery,Hotels (except Casino Hotels) and Motels,Growing Industries,Montgomery,Hotels (except Casino Hotels) and Motels,58,43,-15
Montgomery,Industrial Machinery and Equipment Merchant Wholesalers,Growing Industries,Montgomery,Industrial Machinery and Equipment Merchant Wholesalers,3,10,7
Montgomery,Investment Advice,Growing Industries,Montgomery,Investment Advice,33,12,-21
Montgomery,Janitorial Services,Growing Industries,Montgomery,Janitorial Services,33,21,-12
Montgomery,Kidney Dialysis Centers,Growing Industries,Montgomery,Kidney Dialysis Centers,4,21,17
Montgomery,Landscaping Services,Growing Industries,Montgomery,Landscaping Services,27,25,-2
Montgomery,Lessors of Nonresidential Buildings (except Miniwarehouses),Growing Industries,Montgomery,Lessors of Nonresidential Buildings (except Miniwarehouses),61,23,-38
Montgomery,Limited-Service Restaurants,Growing Industries,Montgomery,Limited-Service Restaurants,136,292,156
Montgomery,Marketing Consulting Services,Growing Industries,Montgomery,Marketing Consulting Services,11,20,9
Montgomery,Medical Laboratories,Growing Industries,Montgomery,Medical Laboratories,112,70,-42
Montgomery,Natural Gas Liquid Extraction,Growing Industries,Montgomery,Natural Gas Liquid Extraction,8,16,8
Montgomery,New Car Dealers,Growing Industries,Montgomery,New Car Dealers,17,61,44
Montgomery,New Multifamily Housing Construction (except For-Sale Builders),Growing Industries,Montgomery,New Multifamily Housing Construction (except For-Sale Builders),47,36,-11
Montgomery,Nursing Care Facilities (Skilled Nursing Facilities),Growing Industries,Montgomery,Nursing Care Facilities (Skilled Nursing Facilities),48,68,20
Montgomery,Office Supplies and Stationery Stores,Growing Industries,Montgomery,Office Supplies and Stationery Stores,23,33,10
Montgomery,Offices of Physicians (except Mental Health Specialists),Growing Industries,Montgomery,Offices of Physicians (except Mental Health Specialists),17,14,-3
Montgomery,Optical Goods Stores,Growing Industries,Montgomery,Optical Goods Stores,20,25,5
Montgomery,Other Basic Inorganic Chemical Manufacturing,Growing Industries,Montgomery,Other Basic Inorganic Chemical Manufacturing,12,21,9
Montgomery,Other Individual and Family Services,Growing Industries,Montgomery,Other Individual and Family Services,5,15,10
Montgomery,Other Personal Care Services,Growing Industries,Montgomery,Other Personal Care Services,8,13,5
Montgomery,Paint and Wallpaper Stores,Growing Industries,Montgomery,Paint and Wallpaper Stores,24,16,-8
Montgomery,Paper (except Newsprint) Mills,Growing Industries,Montgomery,Paper (except Newsprint) Mills,28,16,-12
Montgomery,Passenger Car Rental,Growing Industries,Montgomery,Passenger Car Rental,38,31,-7
Montgomery,Payroll Services,Growing Industries,Montgomery,Payroll Services,41,34,-7
Montgomery,Pet and Pet Supplies Stores,Growing Industries,Montgomery,Pet and Pet Supplies Stores,14,55,41
Montgomery,Petroleum Bulk Stations and Terminals,Growing Industries,Montgomery,Petroleum Bulk Stations and Terminals,16,14,-2
Montgomery,Pharmaceutical Preparation Manufacturing,Growing Industries,Montgomery,Pharmaceutical Preparation Manufacturing,593,1077,484
Montgomery,Pharmacies and Drug Stores,Growing Industries,Montgomery,Pharmacies and Drug Stores,155,234,79
Montgomery,Portfolio Management,Growing Industries,Montgomery,Portfolio Management,19,13,-6
Montgomery,Power and Communication Line and Related Structures Construction,Growing Industries,Montgomery,Power and Communication Line and Related Structures Construction,13,16,3
Montgomery,"Process, Physical Distribution, and Logistics Consulting Services",Growing Industries,Montgomery,"Process, Physical Distribution, and Logistics Consulting Services",12,19,7
Montgomery,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,Growing Industries,Montgomery,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,7,10,3
Montgomery,Refrigerated Warehousing and Storage,Growing Industries,Montgomery,Refrigerated Warehousing and Storage,7,10,3
Montgomery,Research and Development in Biotechnology,Growing Industries,Montgomery,Research and Development in Biotechnology,133,96,-37
Montgomery,School and Employee Bus Transportation,Growing Industries,Montgomery,School and Employee Bus Transportation,9,24,15
Montgomery,Securities Brokerage,Growing Industries,Montgomery,Securities Brokerage,11,10,-1
Montgomery,Security Guards and Patrol Services,Growing Industries,Montgomery,Security Guards and Patrol Services,61,80,19
Montgomery,Security Systems Services (except Locksmiths),Growing Industries,Montgomery,Security Systems Services (except Locksmiths),8,14,6
Montgomery,Semiconductor Machinery Manufacturing,Growing Industries,Montgomery,Semiconductor Machinery Manufacturing,10,11,1
Montgomery,Services for the Elderly and Persons with Disabilities,Growing Industries,Montgomery,Services for the Elderly and Persons with Disabilities,3,12,9
Montgomery,Shoe Stores,Growing Industries,Montgomery,Shoe Stores,27,21,-6
Montgomery,Snack and Nonalcoholic Beverage Bars,Growing Industries,Montgomery,Snack and Nonalcoholic Beverage Bars,3,10,7
Montgomery,Solid Waste Collection,Growing Industries,Montgomery,Solid Waste Collection,68,27,-41
Montgomery,Sporting Goods Stores,Growing Industries,Montgomery,Sporting Goods Stores,80,33,-47
Montgomery,Supermarkets and Other Grocery (except Convenience) Stores,Growing Industries,Montgomery,Supermarkets and Other Grocery (except Convenience) Stores,104,166,62
Montgomery,Tax Preparation Services,Growing Industries,Montgomery,Tax Preparation Services,32,13,-19
Montgomery,Telemarketing Bureaus and Other Contact Centers,Growing Industries,Montgomery,Telemarketing Bureaus and Other Contact Centers,26,16,-10
Montgomery,Testing Laboratories,Growing Industries,Montgomery,Testing Laboratories,77,72,-5
Montgomery,Tire Dealers,Growing Industries,Montgomery,Tire Dealers,26,17,-9
Montgomery,"Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing",Growing Industries,Montgomery,"Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing",19,29,10
Montgomery,Used Merchandise Stores,Growing Industries,Montgomery,Used Merchandise Stores,11,10,-1
Montgomery,Veterinary Services,Growing Industries,Montgomery,Veterinary Services,17,11,-6
Montgomery,Warehouse Clubs and Supercenters,Growing Industries,Montgomery,Warehouse Clubs and Supercenters,34,103,69
Montgomery,Wired Telecommunications Carriers,Growing Industries,Montgomery,Wired Telecommunications Carriers,42,25,-17
Montgomery,Wireless Telecommunications Carriers (except Satellite),Growing Industries,Montgomery,Wireless Telecommunications Carriers (except Satellite),38,26,-12
Montgomery,Women's Clothing Stores,Growing Industries,Montgomery,Women's Clothing Stores,34,34,0
North Central,Administration of Veterans' Affairs,Growing Industries,North Central,Administration of Veterans' Affairs,3,10,7
North Central,All Other General Merchandise Stores,Growing Industries,North Central,All Other General Merchandise Stores,27,35,8
North Central,Automotive Parts and Accessories Stores,Growing Industries,North Central,Automotive Parts and Accessories Stores,19,14,-5
North Central,General Medical and Surgical Hospitals,Growing Industries,North Central,General Medical and Surgical Hospitals,58,84,26
North Central,Home Centers,Growing Industries,North Central,Home Centers,24,34,10
North Central,Home Health Care Services,Growing Industries,North Central,Home Health Care Services,9,12,3
North Central,Other Gasoline Stations,Growing Industries,North Central,Other Gasoline Stations,12,16,4
North Central,Software Publishers,Growing Industries,North Central,Software Publishers,1,10,9
North Central,Supermarkets and Other Grocery (except Convenience) Stores,Growing Industries,North Central,Supermarkets and Other Grocery (except Convenience) Stores,7,11,4
North Central,Used Merchandise Stores,Growing Industries,North Central,Used Merchandise Stores,9,19,10
Northern Tier,Automotive Parts and Accessories Stores,Growing Industries,Northern Tier,Automotive Parts and Accessories Stores,16,10,-6
Northern Tier,Commercial Banking,Growing Industries,Northern Tier,Commercial Banking,9,12,3
Northern Tier,"General Freight Trucking, Long-Distance, Truckload",Growing Industries,Northern Tier,"General Freight Trucking, Long-Distance, Truckload",15,14,-1
Northern Tier,General Medical and Surgical Hospitals,Growing Industries,Northern Tier,General Medical and Surgical Hospitals,178,110,-68
Northern Tier,Home Centers,Growing Industries,Northern Tier,Home Centers,19,23,4
Northern Tier,Home Health Care Services,Growing Industries,Northern Tier,Home Health Care Services,22,61,39
Northern Tier,Pharmacies and Drug Stores,Growing Industries,Northern Tier,Pharmacies and Drug Stores,16,15,-1
Northern Tier,Supermarkets and Other Grocery (except Convenience) Stores,Growing Industries,Northern Tier,Supermarkets and Other Grocery (except Convenience) Stores,1,10,9
Northwest,Adhesive Manufacturing,Growing Industries,Northwest,Adhesive Manufacturing,8,11,3
Northwest,Administration of Veterans' Affairs,Growing Industries,Northwest,Administration of Veterans' Affairs,1,42,41
Northwest,All Other General Merchandise Stores,Growing Industries,Northwest,All Other General Merchandise Stores,18,23,5
Northwest,Automotive Parts and Accessories Stores,Growing Industries,Northwest,Automotive Parts and Accessories Stores,40,33,-7
Northwest,"Colleges, Universities, and Professional Schools",Growing Industries,Northwest,"Colleges, Universities, and Professional Schools",50,98,48
Northwest,Commercial Banking,Growing Industries,Northwest,Commercial Banking,38,14,-24
Northwest,Couriers and Express Delivery Services,Growing Industries,Northwest,Couriers and Express Delivery Services,5,10,5
Northwest,Direct Health and Medical Insurance Carriers,Growing Industries,Northwest,Direct Health and Medical Insurance Carriers,119,137,18
Northwest,Direct Life Insurance Carriers,Growing Industries,Northwest,Direct Life Insurance Carriers,16,14,-2
Northwest,"Financial Transactions Processing, Reserve, and Clearinghouse Activities",Growing Industries,Northwest,"Financial Transactions Processing, Reserve, and Clearinghouse Activities",1,14,13
Northwest,Food Service Contractors,Growing Industries,Northwest,Food Service Contractors,3,16,13
Northwest,Fruit and Vegetable Canning,Growing Industries,Northwest,Fruit and Vegetable Canning,14,24,10
Northwest,Full-Service Restaurants,Growing Industries,Northwest,Full-Service Restaurants,3,26,23
Northwest,Furniture Stores,Growing Industries,Northwest,Furniture Stores,4,10,6
Northwest,"General Freight Trucking, Long-Distance, Truckload",Growing Industries,Northwest,"General Freight Trucking, Long-Distance, Truckload",34,16,-18
Northwest,General Medical and Surgical Hospitals,Growing Industries,Northwest,General Medical and Surgical Hospitals,301,356,55
Northwest,Home Centers,Growing Industries,Northwest,Home Centers,81,65,-16
Northwest,Home Health Care Services,Growing Industries,Northwest,Home Health Care Services,57,149,92
Northwest,Kidney Dialysis Centers,Growing Industries,Northwest,Kidney Dialysis Centers,4,15,11
Northwest,Nursing Care Facilities (Skilled Nursing Facilities),Growing Industries,Northwest,Nursing Care Facilities (Skilled Nursing Facilities),12,13,1
Northwest,Pharmacies and Drug Stores,Growing Industries,Northwest,Pharmacies and Drug Stores,56,46,-10
Northwest,Services for the Elderly and Persons with Disabilities,Growing Industries,Northwest,Services for the Elderly and Persons with Disabilities,5,13,8
Northwest,Software Publishers,Growing Industries,Northwest,Software Publishers,5,15,10
Northwest,Supermarkets and Other Grocery (except Convenience) Stores,Growing Industries,Northwest,Supermarkets and Other Grocery (except Convenience) Stores,16,59,43
Northwest,Tax Preparation Services,Growing Industries,Northwest,Tax Preparation Services,1,11,10
Northwest,"Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing",Growing Industries,Northwest,"Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing",9,22,13
Philadelphia,Administration of Veterans' Affairs,Growing Industries,Philadelphia,Administration of Veterans' Affairs,32,103,71
Philadelphia,Administrative Management and General Management Consulting Services,Growing Industries,Philadelphia,Administrative Management and General Management Consulting Services,379,382,3
Philadelphia,All Other General Merchandise Stores,Growing Industries,Philadelphia,All Other General Merchandise Stores,79,33,-46
Philadelphia,All Other Insurance Related Activities,Growing Industries,Philadelphia,All Other Insurance Related Activities,2,10,8
Philadelphia,"All Other Professional, Scientific, and Technical Services",Growing Industries,Philadelphia,"All Other Professional, Scientific, and Technical Services",4,14,10
Philadelphia,Analytical Laboratory Instrument Manufacturing,Growing Industries,Philadelphia,Analytical Laboratory Instrument Manufacturing,34,58,24
Philadelphia,Architectural Services,Growing Industries,Philadelphia,Architectural Services,29,15,-14
Philadelphia,Assisted Living Facilities for the Elderly,Growing Industries,Philadelphia,Assisted Living Facilities for the Elderly,27,23,-4
Philadelphia,Automobile Manufacturing,Growing Industries,Philadelphia,Automobile Manufacturing,18,18,0
Philadelphia,Automotive Parts and Accessories Stores,Growing Industries,Philadelphia,Automotive Parts and Accessories Stores,35,49,14
Philadelphia,Book Stores,Growing Industries,Philadelphia,Book Stores,16,11,-5
Philadelphia,Cable and Other Subscription Programming,Growing Industries,Philadelphia,Cable and Other Subscription Programming,519,477,-42
Philadelphia,Child Day Care Services,Growing Industries,Philadelphia,Child Day Care Services,24,18,-6
Philadelphia,Civic and Social Organizations,Growing Industries,Philadelphia,Civic and Social Organizations,21,34,13
Philadelphia,Commuter Rail Systems,Growing Industries,Philadelphia,Commuter Rail Systems,37,39,2
Philadelphia,Computer Systems Design Services,Growing Industries,Philadelphia,Computer Systems Design Services,112,89,-23
Philadelphia,Correctional Institutions,Growing Industries,Philadelphia,Correctional Institutions,7,11,4
Philadelphia,"Cosmetics, Beauty Supplies, and Perfume Stores",Growing Industries,Philadelphia,"Cosmetics, Beauty Supplies, and Perfume Stores",22,12,-10
Philadelphia,Couriers and Express Delivery Services,Growing Industries,Philadelphia,Couriers and Express Delivery Services,41,73,32
Philadelphia,Courts,Growing Industries,Philadelphia,Courts,19,22,3
Philadelphia,Custom Computer Programming Services,Growing Industries,Philadelphia,Custom Computer Programming Services,35,29,-6
Philadelphia,Dairy Cattle and Milk Production,Growing Industries,Philadelphia,Dairy Cattle and Milk Production,15,19,4
Philadelphia,"Data Processing, Hosting, and Related Services",Growing Industries,Philadelphia,"Data Processing, Hosting, and Related Services",54,47,-7
Philadelphia,Department Stores (except Discount Department Stores),Growing Industries,Philadelphia,Department Stores (except Discount Department Stores),48,43,-5
Philadelphia,Direct Life Insurance Carriers,Growing Industries,Philadelphia,Direct Life Insurance Carriers,223,168,-55
Philadelphia,Direct Property and Casualty Insurance Carriers,Growing Industries,Philadelphia,Direct Property and Casualty Insurance Carriers,9,11,2
Philadelphia,Direct Title Insurance Carriers,Growing Industries,Philadelphia,Direct Title Insurance Carriers,92,55,-37
Philadelphia,Discount Department Stores,Growing Industries,Philadelphia,Discount Department Stores,45,48,3
Philadelphia,Electrical Contractors and Other Wiring Installation Contractors,Growing Industries,Philadelphia,Electrical Contractors and Other Wiring Installation Contractors,9,10,1
Philadelphia,Electronic Shopping,Growing Industries,Philadelphia,Electronic Shopping,53,172,119
Philadelphia,Electronics Stores,Growing Industries,Philadelphia,Electronics Stores,14,10,-4
Philadelphia,Emergency and Other Relief Services,Growing Industries,Philadelphia,Emergency and Other Relief Services,33,66,33
Philadelphia,Employment Placement Agencies,Growing Industries,Philadelphia,Employment Placement Agencies,46,38,-8
Philadelphia,Engineering Services,Growing Industries,Philadelphia,Engineering Services,160,127,-33
Philadelphia,Executive Offices,Growing Industries,Philadelphia,Executive Offices,75,37,-38
Philadelphia,Facilities Support Services,Growing Industries,Philadelphia,Facilities Support Services,6,17,11
Philadelphia,Family Clothing Stores,Growing Industries,Philadelphia,Family Clothing Stores,70,35,-35
Philadelphia,Full-Service Restaurants,Growing Industries,Philadelphia,Full-Service Restaurants,96,73,-23
Philadelphia,Furniture Stores,Growing Industries,Philadelphia,Furniture Stores,49,48,-1
Philadelphia,Gasoline Stations with Convenience Stores,Growing Industries,Philadelphia,Gasoline Stations with Convenience Stores,9,12,3
Philadelphia,General Automotive Repair,Growing Industries,Philadelphia,General Automotive Repair,58,70,12
Philadelphia,"General Freight Trucking, Long-Distance, Truckload",Growing Industries,Philadelphia,"General Freight Trucking, Long-Distance, Truckload",36,70,34
Philadelphia,Greeting Card Publishers,Growing Industries,Philadelphia,Greeting Card Publishers,12,10,-2
Philadelphia,"Hobby, Toy, and Game Stores",Growing Industries,Philadelphia,"Hobby, Toy, and Game Stores",13,22,9
Philadelphia,Home Centers,Growing Industries,Philadelphia,Home Centers,89,77,-12
Philadelphia,Home Health Care Services,Growing Industries,Philadelphia,Home Health Care Services,88,270,182
Philadelphia,Human Resources Consulting Services,Growing Industries,Philadelphia,Human Resources Consulting Services,60,40,-20
Philadelphia,Industrial Launderers,Growing Industries,Philadelphia,Industrial Launderers,14,22,8
Philadelphia,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial",Growing Industries,Philadelphia,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial",12,43,31
Philadelphia,Investment Banking and Securities Dealing,Growing Industries,Philadelphia,Investment Banking and Securities Dealing,11,11,0
Philadelphia,Janitorial Services,Growing Industries,Philadelphia,Janitorial Services,17,10,-7
Philadelphia,Junior Colleges,Growing Industries,Philadelphia,Junior Colleges,63,32,-31
Philadelphia,Kidney Dialysis Centers,Growing Industries,Philadelphia,Kidney Dialysis Centers,17,54,37
Philadelphia,Lessors of Nonresidential Buildings (except Miniwarehouses),Growing Industries,Philadelphia,Lessors of Nonresidential Buildings (except Miniwarehouses),31,30,-1
Philadelphia,Limited-Service Restaurants,Growing Industries,Philadelphia,Limited-Service Restaurants,113,123,10
Philadelphia,Marketing Consulting Services,Growing Industries,Philadelphia,Marketing Consulting Services,71,31,-40
Philadelphia,Medical Laboratories,Growing Industries,Philadelphia,Medical Laboratories,7,12,5
Philadelphia,Mixed Mode Transit Systems,Growing Industries,Philadelphia,Mixed Mode Transit Systems,8,32,24
Philadelphia,Monetary Authorities-Central Bank,Growing Industries,Philadelphia,Monetary Authorities-Central Bank,30,32,2
Philadelphia,National Security,Growing Industries,Philadelphia,National Security,20,42,22
Philadelphia,Natural Gas Liquid Extraction,Growing Industries,Philadelphia,Natural Gas Liquid Extraction,38,47,9
Philadelphia,Offices of Certified Public Accountants,Growing Industries,Philadelphia,Offices of Certified Public Accountants,78,52,-26
Philadelphia,Offices of Lawyers,Growing Industries,Philadelphia,Offices of Lawyers,92,43,-49
Philadelphia,Offices of Mental Health Practitioners (except Physicians),Growing Industries,Philadelphia,Offices of Mental Health Practitioners (except Physicians),1,37,36
Philadelphia,"Offices of Physical, Occupational and Speech Therapists, and Audiologists",Growing Industries,Philadelphia,"Offices of Physical, Occupational and Speech Therapists, and Audiologists",1,14,13
Philadelphia,Offices of Real Estate Agents and Brokers,Growing Industries,Philadelphia,Offices of Real Estate Agents and Brokers,30,46,16
Philadelphia,Optical Goods Stores,Growing Industries,Philadelphia,Optical Goods Stores,16,12,-4
Philadelphia,Other Clothing Stores,Growing Industries,Philadelphia,Other Clothing Stores,10,17,7
Philadelphia,Other Commercial and Service Industry Machinery Manufacturing,Growing Industries,Philadelphia,Other Commercial and Service Industry Machinery Manufacturing,20,12,-8
Philadelphia,Other General Government Support,Growing Industries,Philadelphia,Other General Government Support,218,176,-42
Philadelphia,Other Individual and Family Services,Growing Industries,Philadelphia,Other Individual and Family Services,13,38,25
Philadelphia,Other Scientific and Technical Consulting Services,Growing Industries,Philadelphia,Other Scientific and Technical Consulting Services,458,580,122
Philadelphia,Packaged Frozen Food Merchant Wholesalers,Growing Industries,Philadelphia,Packaged Frozen Food Merchant Wholesalers,7,17,10
Philadelphia,Parking Lots and Garages,Growing Industries,Philadelphia,Parking Lots and Garages,47,11,-36
Philadelphia,Passenger Car Rental,Growing Industries,Philadelphia,Passenger Car Rental,84,49,-35
Philadelphia,Pet and Pet Supplies Stores,Growing Industries,Philadelphia,Pet and Pet Supplies Stores,21,23,2
Philadelphia,Petrochemical Manufacturing,Growing Industries,Philadelphia,Petrochemical Manufacturing,29,65,36
Philadelphia,Pharmaceutical Preparation Manufacturing,Growing Industries,Philadelphia,Pharmaceutical Preparation Manufacturing,110,126,16
Philadelphia,Pharmacies and Drug Stores,Growing Industries,Philadelphia,Pharmacies and Drug Stores,64,89,25
Philadelphia,Power-Driven Handtool Manufacturing,Growing Industries,Philadelphia,Power-Driven Handtool Manufacturing,4,12,8
Philadelphia,"Process, Physical Distribution, and Logistics Consulting Services",Growing Industries,Philadelphia,"Process, Physical Distribution, and Logistics Consulting Services",46,47,1
Philadelphia,Radio Networks,Growing Industries,Philadelphia,Radio Networks,23,19,-4
Philadelphia,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,Growing Industries,Philadelphia,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,3,26,23
Philadelphia,Research and Development in Biotechnology,Growing Industries,Philadelphia,Research and Development in Biotechnology,106,164,58
Philadelphia,Scheduled Passenger Air Transportation,Growing Industries,Philadelphia,Scheduled Passenger Air Transportation,23,16,-7
Philadelphia,Securities Brokerage,Growing Industries,Philadelphia,Securities Brokerage,5,17,12
Philadelphia,Security Guards and Patrol Services,Growing Industries,Philadelphia,Security Guards and Patrol Services,70,87,17
Philadelphia,Services for the Elderly and Persons with Disabilities,Growing Industries,Philadelphia,Services for the Elderly and Persons with Disabilities,8,21,13
Philadelphia,Shoe Stores,Growing Industries,Philadelphia,Shoe Stores,31,13,-18
Philadelphia,Soft Drink Manufacturing,Growing Industries,Philadelphia,Soft Drink Manufacturing,14,24,10
Philadelphia,Software Publishers,Growing Industries,Philadelphia,Software Publishers,84,174,90
Philadelphia,Specialty (except Psychiatric and Substance Abuse) Hospitals,Growing Industries,Philadelphia,Specialty (except Psychiatric and Substance Abuse) Hospitals,124,71,-53
Philadelphia,Supermarkets and Other Grocery (except Convenience) Stores,Growing Industries,Philadelphia,Supermarkets and Other Grocery (except Convenience) Stores,74,117,43
Philadelphia,Surgical and Medical Instrument Manufacturing,Growing Industries,Philadelphia,Surgical and Medical Instrument Manufacturing,19,19,0
Philadelphia,Tax Preparation Services,Growing Industries,Philadelphia,Tax Preparation Services,7,12,5
Philadelphia,Television Broadcasting,Growing Industries,Philadelphia,Television Broadcasting,47,28,-19
Philadelphia,"Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing",Growing Industries,Philadelphia,"Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing",23,52,29
Philadelphia,Warehouse Clubs and Supercenters,Growing Industries,Philadelphia,Warehouse Clubs and Supercenters,44,54,10
Philadelphia,Wireless Telecommunications Carriers (except Satellite),Growing Industries,Philadelphia,Wireless Telecommunications Carriers (except Satellite),38,21,-17
Philadelphia,Women's Clothing Stores,Growing Industries,Philadelphia,Women's Clothing Stores,35,30,-5
Pocono,All Other General Merchandise Stores,Growing Industries,Pocono,All Other General Merchandise Stores,20,23,3
Pocono,Automotive Parts and Accessories Stores,Growing Industries,Pocono,Automotive Parts and Accessories Stores,33,28,-5
Pocono,Commercial Banking,Growing Industries,Pocono,Commercial Banking,19,22,3
Pocono,Couriers and Express Delivery Services,Growing Industries,Pocono,Couriers and Express Delivery Services,8,11,3
Pocono,Electronic Shopping,Growing Industries,Pocono,Electronic Shopping,6,12,6
Pocono,Food Service Contractors,Growing Industries,Pocono,Food Service Contractors,10,14,4
Pocono,Full-Service Restaurants,Growing Industries,Pocono,Full-Service Restaurants,2,13,11
